word,trans,exp
"asui","【名詞】(言)動詞","【参照】hetubegeh
{r|用言>i.s}"
"asuie","【動詞】(teeを)遅くする，減速させる
【動詞】(焦っている人を)落ち着かせる，なだめる
【対義語】uiee",""
"asuin","【記述詞】遅い，おそい，遅く，おそく
【対義語】uien","【語法】速度の指標であって，加速度の指標ではない．
{r>i.s}"
"aume","【名詞】装甲，鎧，ボディーアーマー","【語法】金属製に限らない．本体を守る外装であり，本来の用途が防御であるもの．
{a>i.k}"
"aumegarme","【名詞】(軍)装甲戦闘車両","【文化】戦車や自走砲，装甲兵員輸送車を含めた全てを指す．装甲されているものの，本来戦闘用ではない車はaumen harmeで区別する．
{aume+harme}"
"aumen","【記述詞】(軍)装甲された，被装甲の，鎧を纏った","{aume+n}"
"aves","【名詞】事務所，オフィス，詰所","【語法】大規模でも小規模でも用いる．
{a}"
"ba-","【接頭辞】二の，ふたつの",""
"badeh","【名詞】黒
【名詞】(蔑)銀国，銀国人
【対義語】marzek,badeh,s'are","【参照】dir
{a>i.s}"
"badehin","【記述詞】黒い，黒く
【記述詞】銀国の","【参照】s'are
{badeh+in}"
"badien","【名詞】(数)億","{a>i.s}"
"bado","【名詞】青","{a>i.s}"
"badon","【記述詞】青い，青く","{bado+n}"
"bagisdare","【名詞】(音)二重奏，連弾
【関連】bauegi","【語法】楽器による二重奏なので，歌のデュエットは含まない．
{ba+kisdare}"
"bake","【動詞】(物理的に)大きくする，立派にする","{bakin>}"
"bakin","【記述詞】大きい，大きく，(大中小の)大の","{a>i.s}"
"bakin irdu","(軍)一等准尉",""
"bate","【名詞】豚肉","【語法】食材としての豚肉，豚肉料理としての豚肉どちらにも用いる．
{r>i.s}"
"bauegi","【名詞】デュエット
【関連】bagisdare","【語法】二人で歌う歌，あるいは歌うことそのもの．楽器の二重奏はbagisdare．
{ba+uegi}"
"bavar","【名詞】二輪車，自転車
【関連】fevebavar","【語法】バイクを指すこともあるが，基本は自転車．
{ba+var}"
"beb","【名詞】泡","{a}"
"beh(1)","【名詞】(順番が，物理的位置が，時間的に過去側に)後ろ，手前側
【対義語】fadun",""
"beh(2)","【名詞】鞄，かばん，カバン，バッグ
【関連】fohde","【語法】荷物を入れる袋，が原義．元から荷物を入れる用に作ってあるものを指す．応急的に荷物を入れる場合はbehではなく，荷物を入れることが考慮されていればサイズが小さくてもbehである．
{r}"
"bezik","【名詞】過去，昔
【対義語】fazik","【語法】過去一般をさす．連綿と続く歴史はasderi
{beh+zik>}"
"bizef","【名詞】(軍)将，将官","【文化】将官は大中小に分類される．元は教区監督を指す語．
{a>i.s}"
"bude","【名詞】球，玉","{a}"
"buden","【記述詞】丸い，球体の，球状の，丸く","{bude+n}"
"bur","【名詞】身体，体","【語法】首から下，肩より内側，足の付け根より上．
{a}"
"buta","【名詞】水，湯，H2O
【関連】ragi","【語法】日本語と異なり，物質としての実態を重視するため，湯も水もbutuである．同様の理由により，混ぜ物が入った混合液をbutuと言うことはなく，ragi|液体という語を用いる．
{a|水>i.t>i.s}"
"cegire","【動詞】着ける，オンにする，使用状態にする，活用する
【対義語】gise","【参照】gise
{r}"
"ceis'u","【名詞】通信，連絡","【語法】電話連絡やメールに限らず，手紙や口伝も含む．
{r>i.k}"
"ceis'ue","【動詞】連絡する，伝達する，通信する，伝える","【参照】ceis'u"
"ceis'uesk","【名詞】情報，インフォメーション，伝達事項","【語法】原義は伝えられるもの．その手段を問わない為，情報技術の情報にも，伝言の内容にも，とにかく伝えられる内容全てに使われる．"
"cinze","【動詞】変える，(物，信念，意見，依って立つ物を)変更する","【参照】mugide
{a}"
"coda","【助詞】～について，～に関して，～にとって，～には","{r}"
"cok","【名詞】父
【対義語】pam","{u}"
"dader","【名詞】なぞなぞ，謎かけ，言葉遊び
【関連】tenca","【語法】言葉遊びのような問題を指す．言葉遊びではなく，内容にひねりがある問題はtenca．
{a}"
"dafin","【記述詞】深い，深く
【対義語】esean","【語法】ある基準面から他の面までの重力方向の距離が大きい様，が原義．ある程度広さを持った物に対して使う．価値判断を含まない．
{a}"
"dagun","【名詞】尉，尉官","【文化】尉官は大中小に分類される．元はfadasdeの補佐を指す語．
{a>i.s}"
"dansen","【名詞】コンピュータ
【対義語】serkura","【語法】可動部が少なく，全てが電気信号と電力で動くタイプの機械全般を指す．正確にはserkuraの一部だが，大抵の人はserkuraとdansenの二項対立で考えている．
{r|電子計算機>i.s}"
"dare","【動詞】<状>(主として文字媒体を)読む，閲覧する","【語法】漫画はdareするものではない．mareするもの．
{a}"
"dedin","【記述詞】(永続的に)醜い，醜悪な，醜く，醜悪に，美しくない，汚い，汚く，汚れた
【類義語】hirneen
【対義語】ican","【語法】長期間通常よりも醜い状態，が原義．なので生来の醜さや内面の汚さと，泥や油による外面の汚さの両方を指す．どちらの場合も，一時的な状態ではなく中々元に戻らないというニュアンスを含む．
{a|汚れた}"
"dega","【代名詞】(不定称単数有生)誰か，だれか
【対義語】nega","{r>}"
"deiv","【名詞】命，人生，一生，(死に対する)生，生命
【関連】igar","【語法】動物の一生も指す．日々の生活とは別の単語．
{a|命，生活}"
"dek","【助詞】～みたいに，～同様に",""
"demin","【記述詞】(味が)まずい，美味しくない，まずく
【対義語】radasen","【語法】味がまずい場合に用いる．
{u}"
"den","【文記述詞】(肯定を想定した確認，付加疑問の)だね，でしょ？",""
"derua","【文記述詞】(推定，推量の)～だろう，きっと",""
"dev","【名詞】愛，愛情","【語法】愛と愛情は同じ単語．愛されている状態，愛している状態．家族愛や恋愛心を含むが，下心は通常含意されない．
【文化】帝国人は愛と性欲は理想的には切り離すべきだが，実際問題として切り離せないと思っている．また，日本より個人主義的なため，家族愛よりも自らの恋愛心を優先することが推奨されている．親も子供の恋愛を応援することが多い．放任的なところがあり，必ずしも自らの自由時間をたっぷりかけることが愛情を意味しない．
{deve>}"
"deve","【動詞】<状>(人，物を)愛する，心酔する
【関連】reeke","{a}"
"dia","【名詞】昼
【対義語】neer
【関連】rasvet,vit'er","【参照】neer
{a}"
"diage","【名詞】午後
【対義語】diamee","{dia+ge}"
"diamee","【名詞】午前
【対義語】diage","{dia+mee}"
"dic","【名詞】直線
【名詞】(人や物が並んだ並んだ)列，行","【語法】縦横どちらの列もdic．
{r>i.s}"
"dige-","【接頭辞】十の",""
"diiz","【名詞】現在，現代
【類義語】am","【参照】am
{a|日々}"
"dim","【接続詞】(逆接)しかし",""
"ding","【名詞】電気，電力","【語法】電力も一般にはdingで良いが，電気の力であることを明示したい場合はdingveve.
{r}"
"dingebar","【名詞】(科)電子","{ding+ebar}"
"dingveve","【名詞】電力","{ding+feve}"
"dir","【名詞】赤
【名詞】(蔑)能国，能国人
【対義語】marzek,s'are,badeh","【文化】敵味方を色分けするとき，赤は味方の色である．対する敵の色は白である．モノクロの場合は味方を黒で表し，敵は同様に白で表す．これは能国の風習と銀国の風習を組み合わせた結果である．敵味方ともつかない場合は紫で表す．赤黒紫は帝国の象徴色であり，この3色で色分けできた方が便利なのでこうなっている．
{a>i.s}"
"dirag","【名詞】吐息，排気
【類義語】karag
【対義語】idoag","【語法】出てくる気体．価値判断を含まず，マイナスイメージはない．
{dir+ag}"
"dire","【動詞】(urから)出す
【対義語】idoe","【語法】対象が気体・液体・固体に関わらず使える．
{r}"
"dirin","【記述詞】赤い，赤く
【記述詞】能国の","【参照】dir
{dir+in}"
"dirz'areakser","【名詞】紅白戦，(チーム内での)模擬戦，(チーム内での)練習試合
【類義語】veesakser","【語法】自チーム内で赤と白に分かれて行う練習試合．dirz'areという単語そのものは存在しないので注意．
【参照】dir
{dir+s'are+akser}"
"disean","【記述詞】ださい，格好悪い，いけてない，ださく，格好悪く
【対義語】aktirin","【語法】様々な要素がどうもピンと来ない様を指す．古風とか，古ぼけてるというのとは違う．
{r}"
"diven","【記述詞】太った，でぶな，デブな
【類義語】faton
【対義語】gedin","【語法】マイナスイメージを含んだfaton．
{r}"
"doe","【動詞】入れる",""
"dom","【名詞】運，運命","【語法】自分ではどうしようもないこと．なので，運も運命も同じ単語である．
【文化】運命は神に定められるものではない．アルザフィーレ教の神は想像種ではあるものの人間に無関心なので，人類史に影響を与える存在であるとは考えられていないため．
{a|運命}"
"dore","【動詞】<状>～だ，～である，いる，ある","【語法】所謂コピュラ．存在を示す動詞である．基本的に省略されるが，ze節においては動詞の表示が義務的なので現れる．"
"duh","【名詞】(数)六，6","{r>i.s}"
"dukes","【名詞】論理，理屈
【類義語】mizer
【対義語】ides","【語法】一連の論理的な流れのこと．方法，手法という意味での理論はmizer"
"dukesin","【記述詞】理屈の，(物事が)理論的な，(人が)理屈っぽい",""
"dun","【記述詞】(地面など基準面からの位置が)低い，低く
【記述詞】(人，心が)俗っぽい，大衆的な，卑しい
【対義語】ein","【参照】ein
{a}"
"dungin","【記述詞】(物理的に，時間的に) 長い
【対義語】s'udin","【語法】価値判断を含まない．
{a}"
"dutrin","【記述詞】時代遅れの，古い，古ぼけた，古臭い
【類義語】fadoan，maksan
【対義語】magen","【語法】古いことを否定的にとらえた語．価値判断はマイナス．
{a>r|時代遅れの，ポンコツの}"
"ea","【名詞】目，眼","【語法】瞼の向こう側の組織全体を指す．なので睫毛や瞳はeaの周りの組織であって，eaではない．
{a}"
"eaakermugirom","【名詞】コンタクトレンズ
【関連】eagiresk","{ea+akermugirom}"
"eabuta","【名詞】涙","{ea+buta}"
"eagie","【名詞】まつげ，睫毛，まつ毛","{ea+kie}"
"eagiresk","【名詞】眼鏡，めがね，メガネ
【関連】eaakermugirom","{ea+hiresk}"
"ebar","【名詞】(科)粒子，紛体","{a|小さなもの>}"
"ebaruiezerkura","【名詞】(科)粒子加速器","{ebar+uie+serkura}"
"edoke","【名詞】歩く，歩行する","{r}"
"ein","【記述詞】(地面など基準面からの位置が)高い，高く
【記述詞】(人，心が)浮世離れしている，高潔な，超然とした
【対義語】dun","【語法】基準点からの距離が重力あるいは遠心力と反対方向に一定以上離れている状態，が原義．なので対象が設地していなくても良い．基準点から離れているという意味から転じて，人が俗社会から隔絶している様も指す．どの場合も価値判断を含まない．
{a}"
"ek-","【接頭辞】～長，最高～
【類義語】mia-
【関連】vees-","{a}"
"ekbizef","【名詞】(軍)大将",""
"ekdagun","【名詞】(軍)大尉",""
"ekmenge","【名詞】(軍)兵長",""
"ekminer","【名詞】首都
【関連】miaminer","【語法】星に一つの首都を指す．主要都市が複数ある場合には，次点都市miaminerを用いる．
{ek+miner}"
"ekvadasde","【名詞】(軍)大佐",""
"en-","【接頭辞】反～","{r>}"
"enakser","【名詞】反戦","{en+akser}"
"ene","【名詞】鼻","【語法】突き出ている部分．目の間の突起の始まりから，三角錐状の部分全体．
{r}"
"enima","【名詞】動物
【対義語】faren","【語法】動物全般を指す．人間も含む．植物と微生物以外を含み，虫や爬虫類も含めてenimaである．
{r}"
"enmev","【名詞】西，反回転方向
【対義語】mev","【参照】mev"
"envur","【名詞】南
【対義語】fur","【文化】元々別の言い方が存在したが，語形変化に従って北と音が似たため「反北」という言い方が導入された．
{*imfur/en+fur}"
"erdesan","【記述詞】新しい，新しく
【類義語】amin，magen
【対義語】fadoan","{a>i.s}"
"es'ai","【名詞】恒星，(光る)星
【関連】seti","【語法】イジェール語では惑星や衛星を含めた星一般と，恒星を区別する．複合語はことさら恒星であることを強調しなければ，setiで作る場合の方が多い．
{r>i.k}"
"es'ainati","【名詞】晴れ，晴れの日，ハレ
【対義語】fuzmanati","{es'ai+nati}"
"es'aivar","【名詞】星系，恒星系",""
"esdide","【動詞】忘れる，忘却する","{r}"
"esean","【記述詞】浅い，浅く
【対義語】dafin","【語法】ある基準面から他の面までの重力方向の距離が小さい様，が原義．ある程度広さを持った物に対して使う．価値判断を含まない．
{r}"
"espar","【名詞】槍，長柄武器，ポールウェポン
【類義語】nedauc","【語法】先端が刃物で，もっぱら刺突を目的としたものを指す．切断の方が目的として大きい場合はnedaucと呼ぶ．
{u}"
"fa","【名詞】火","{r}"
"fadasde","【名詞】佐，佐官","【文化】佐官は大中小に分類される．元は様々な儀式を執り行う監督官を指す語．
{a>i.s}"
"fadea","【名詞】跳躍，ジャンプ",""
"fadeae","【動詞】(teeを)跳ばす，ジャンプさせる","{u}"
"fadis","【名詞】空間，場所
【関連】z'aman","【語法】空間を指す．日本語における「土地」を使う場面の多くで，「空間」に対応するfadisを用いる．大地の無い場所をも領有するようになった宇宙時代の影響である．
{a}"
"fadoan","【記述詞】古い，古く
【類義語】maksan，dutrin
【対義語】erdesan","{r>i.s}"
"fadun","【名詞】(順番が，物理的位置が，時間的に未来側に)前，先，奥
【対義語】beh(1)",""
"fagav","【名詞】(罪や過ちに対しての心情的な)ゆるし，赦し","{fagave>}"
"fagave","【動詞】(心情的に)(人を)許す，赦す",""
"fagiresk","【名詞】防火服，耐火服","{fa+hiresk}"
"fai","【間投詞】(呼びかけの)ねぇ，おい",""
"faren","【名詞】植物
【関連】tara
【対義語】enima","【語法】木や草を含んだ植物全般を指す．日常でも用いる語で，木や草を指さして ican faren!|きれいな木! というのは普通．farenには立木の意味はないので，「この実は木になるの？」と聞くときなどはより細かい分類を用いる．
{r}"
"farsia","【名詞】苦しみ，辛さ，苦痛","{r}"
"farsiae","【動詞】(teeを)苦しめる，苦痛を与える","{farsia>}"
"farsian","【記述詞】苦しい，苦しく，辛い，辛く","{farsa>}"
"fasden","【名詞】ピストン
【名詞】往復便，往還機(宇宙船)
【対義語】s'eder","{a>i.s}"
"faten","【名詞】寝床，ベッド，布団","【語法】寝るための場所，が原義．即席のfatenという言い方は出来るが，単にfatenと言ったらソファーや床でごろ寝という様は想像しない．
【文化】イジェール人は通常ベッドで寝る．コロニー生活時代，いざという時に寝たまま飛び回らないよう，ベッドにベルトで体を括り付けていた名残でベッドが主流である．折り畳みベッドの家も多い．
{a|布団}"
"faton","【記述詞】太い，ガタイが良い，太く
【対義語】usoin","【語義】身長，体長，全長に対して太さが大きい様．生物にも無生物にも用いる．価値判断を含まない．
{r}"
"faverfi","【名詞】花火","【語法】元は大きな打ち上げ花火飲みを指していたが，現在は線香花火の様な小さいものも含む．
{fa+ferfi}"
"fazik","【名詞】未来，将来
【対義語】bezik","{fadun+zik>}"
"fe","【名詞】(数)九，9","{r>i.s}"
"fedena","【名詞】惑星
【関連】seti","{r}"
"fendir","【名詞】(数)百，100","【語法】100の倍数はfendirとの合成になる．200はnavendir，320はsenvendir nade，765はsit'avendir duhde guとなる．
{a>i.s}"
"fendir kadradien","(数)京",""
"fenzen","【名詞】(数)関数
【名詞】機能","{a}"
"feren","【名詞】計画，設計
【対義語】vazen","【語法】見通しが立っていて，先に進むであろうものを指す．まだ採用されるか分からない状態のものはvazen|企画を用いる．
{a>i.s}"
"ferfi","【名詞】花","【語法】色がついて円形に開いている部分全体．日本語の花と範囲はほぼ同じ．
{a}"
"ferin","【記述詞】(本などの物体の厚みが)厚い，厚く，あつい
【対義語】sanin","【語法】面の広さに対して高さが大きい様．価値判断を含まない．
【参照】sanin
{a}"
"ferivun","【記述詞】賢い，頭が良い
【対義語】urgun","{r}"
"feve","【名詞】力，パワー，動力","{a}"
"fevebavar","【名詞】自動二輪，バイク，スクーター
【関連】bavar","【語法】bavarのうち，原動機を積んだもの．スクーターと特に区別しない．
{feve+bavar}"
"fevezerkura","【名詞】原動機，エンジン","{feve+serkura}"
"fiidanc","【名詞】親，両親","【語法】父と母の２人であることを明示したければ複数形にする．
{a|両親}"
"finde-","【接頭辞】五の，いつつの",""
"fire","【名詞】軌道，レール，(ある程度太い)道路
【関連】sedarvire，uievire","【語法】輸送機械が移動する経路のこと．
{r}"
"fireadu","【名詞】(略)(軍)履板
【関連】hasedivire","{hasedi+fire+adu>}"
"fohde","【名詞】袋，ふくろ
【関連】beh(2)","【語法】口の空いた薄手のもの，が原義．背負うとか，手に持つとかの持ち方は問わない．用途も問わない．荷物を入れるように作られたものはbehと呼ばれ，区別される．
{a}"
"fom","【名詞】人，人物，奴
【対義語】venu
【関連】iomen","【語法】「～という人」，や「人は誰しも～」等に使う．生物学的ヒトはiomen．
{u}"
"fuh","【名詞】頬，ほっぺ","【語法】耳のラインより下，唇の端よりも外，下あごの骨に到達するまでの部分．
{r}"
"fuk","【名詞】列車，電車，鉄道(車両)","【語法】軌道の方ではなく，車両としての列車を指す．
{u}"
"fune","【名詞】(言)アルファベット，かな，カナ，字母","【語法】ある言語の表記に用いられる文字集合のことを指す． 集合全体のことを指す場合と，個別の文字を表す場合があるが，文脈で判断する．"
"fur","【名詞】北
【対義語】envur","{a|極}"
"fuzes'","【名詞】(言)記述詞","{r|前置修飾語>i.s}"
"fuzma","【名詞】雲，くも","{r:霞>}"
"fuzmanati","【名詞】くもり，曇り，曇りの日
【対義語】es'ainati","{fuzma+nati}"
"gain","【名詞】(軍)銃","{a>i.k}"
"gec","【接続詞】(同時)かつ",""
"gedin","【記述詞】痩せた，やせた，痩せ細った，やせ細った，ガリガリの，痩身の
【類義語】usoin
【対義語】diven","【語法】マイナスイメージを含んだusoin．
{r|痩せ細ったさま}"
"geroi","【名詞】英雄，ヒーロー，ヒロイン","{n:герой}"
"ges","【名詞】(化)気体，ガス
【対義語】ragi，sudir","{a}"
"gesin","【記述詞】気体の，ガス状の",""
"gise","【動詞】消す，オフにする，不使用状態にする，不活性化する
【対義語】cegire","【語法】殆どの物体や機能を対象として使える．ただ，花が枯れる場合など対象が生き物のときはr'akareを使う方が自然．
{r}"
"gu","【名詞】(数)五，5","{r>i.s}"
"harme","【名詞】車，車両","【語法】車輪がついていて軌道を必要としない乗り物全般を指す．なので手押し車を含み，列車を含まない．
{r>i.s}"
"hasedi","【名詞】鎖，チェーン","{a}"
"hasedivire","【名詞】無限軌道，キャタピラー，クローラー
【関連】fireadu","【語法】無限軌道というシステム全体を指す．個々の履板はfireadu
{hasedi+fire}"
"hetubegeh","【名詞】(言)言語学","{hetube+geh}"
"hire","【動詞】着る，着用する，装着する，装備する","【語法】人間が物を着る場合，道具が装備を装着する場合など，生物と無生物を区別する用いる．
{r|着る}"
"hiresk","【名詞】着る物，着物，服，洋服，カバー，外装，コーティング
【関連】ruk","【語法】人間が着る物，道具が表面に装備する物の双方に用いる．ことさら道具であることを強調する場合はruk"
"hirneen","【記述詞】(一時的に)美しくない，汚い，汚く，汚れた
【類義語】dedin
【対義語】kadin","【語法】一時的に汚れている状態を指す．永続的に醜い場合はdedinを用いる．
{r}"
"huben","【名詞】手荷物，荷物
【関連】namec","【語法】手に持てる個人用の備品．手に持てない貨物や荷物はnamecである．
{r|鞄}"
"hurgeh","【名詞】(言)奪格","【語法】イジェール語にける奪格は奪格となっている名詞から，なにか要素を引き離す時に用いる．ある場所から物理的に外に出る，又は出す場合は出格を用いる．
{hur+geh}"
"huten","【記述詞】(精神的に，心や意志が)強い，強力な，強く
【類義語】kuen
【対義語】torun","【語法】心や意志が強い様．強く勧めるとか，強く推進する，といった場合にもhutenを用いる．
{u}"
"ia","【間投詞】はい，ええ，イエス
【対義語】sie","{r}"
"iam","【名詞】(プロジェクトの，銃や弓矢の)目標，狙い，ターゲット","【語法】比喩的にも，直接的にも狙っている対象を指す語．
{r}"
"iame","【動詞】(teeを)狙う，照準する，目標にする","【語法】人を尊敬して目標にする場合なども含む．
{iam+e}"
"iare","【名詞】黄色","{a>i.s}"
"ican","【記述詞】(永続的に)きれいな，美しい，きれいに，美しく，麗しい，麗しく，美麗な，美麗に
【記述詞】素晴らしい，素敵な
【類義語】kadin
【対義語】dedin","【語法】可愛さよりもカッコよさに寄っている．美麗に近い意味．内面にも外面にも使えるが，一時的な美に対しては社交辞令を除けば使えない．
{r|可愛らしい}"
"icen","【記述詞】熱い，あつい，熱く，あつく
【類義語】uemin
【対義語】siman","【語法】気体，液体，固体の温度が高い状態を指す．基準は自分の感覚，つまり体温である場合が多い．価値判断は中立かマイナスである．
{r}"
"icen buta","湯，お湯",""
"ides","【名詞】感情，倫理
【対義語】dukes","【語法】感情に立脚する一連の流れ．"
"idesin","【記述詞】感情的な，感情的に","【語法】価値判断は中立で，マイナスイメージはない．"
"idoag","【名詞】吸気
【対義語】dirag","【語法】内側に入ってくる気体のこと．吸気する行為は指さないのに注意．
{ido+ag}"
"idoe","【動詞】<行>(nirへ)入れる
【対義語】dire","【参照】dire
{r}"
"iduan","【記述詞】悪い，わるい，悪く
【対義語】saguan","{r|酷い}"
"iebin","【記述詞】(程度が)～すぎる，過剰に，あまりにも","【用例】
mef iebin dukesin.|お前は理屈っぽすぎる．
{r}"
"ieme","【名詞】山，岳","【語法】高さがあるか，傾斜がきつい突起を指す．左の定義を満たす対象に対して，広く比喩的にも用いられる．
{r}"
"iesen","【法記述詞】(意志)(自分は)～しよう",""
"igar","【名詞】生活，生きていること
【関連】deiv，kar",""
"igare","【動詞】生かす
【対義語】kuree","【語法】生きている状態にすること．活用するという意味はない．
{r}"
"ikzi-","【接頭辞】六の，むっつの",""
"impara","【名詞】皇帝，帝王","【語法】一般名詞としての皇帝．
{a}"
"in-","【接頭辞】～化，～の状態にすること","{a}"
"iomen","【名詞】(生)人間，人類，人，ヒト
【関連】fom","【語法】人間一般．生物学的にヒトを指す．
【参照】uruke
{a}"
"irbae","【動詞】<状>(人を)(精神的に)助ける，支持する，支援する
【類義語】tuskae，supuce","【参照】tuskae
{a}"
"irdu","【名詞】(軍)准尉(准尉，特務曹長，兵曹長など)","【文化】准士官の下位分類．准尉は大中小に分類される．元は信徒のうちの年長さを指す語．
{a>i.s}"
"ita","【名詞】(数)一，1","{r>i.s}"
"itan menge","(軍)一等兵",""
"iue","【動詞】(teeを)(iuに)与える，やる
【対義語】adeae","{r}"
"iugeh","【名詞】(言)与格","{r>iu+keh}"
"iuzen","【法記述詞】(勧誘)(一緒に)～しよう",""
"ive","【名詞】岩，岩石
【関連】satun","【語法】satunよりも大きなもの．
{r}"
"kadin","【記述詞】(一時的に)きれいな，きれいに，美しい，美しく，清潔な，清潔に
【類義語】ican
【対義語】hirneen","【語法】一時的な美，清潔な状態を指す．永続的な美しさはican．
{a|見目麗しい}"
"kadra-","【接頭辞】四の，よっつの",""
"kadradien","【名詞】(数)百兆",""
"kadragisdare","【名詞】(音)四重奏，カルテット","{kadra+kisdare}"
"kaobi","【名詞】首","{r|頭>}"
"kar","【名詞】死
【対義語】igar，deiv","【語法】本来あるべきインプットに対するアウトプットが一切無い状態，が原義．なので，無生物が本来の機能を失っている状態にも使える．シャットダウンしたコンピュータなど，元からアウトプットがないのが普通の場合には使わない．"
"karag","【名詞】排気
【類義語】dirag","【語法】マイナスイメージのあるdirag．捨てて無駄になる空気，汚染された空気というイメージを含む．
{kar+ag}"
"karbur","【名詞】死体，屍","{kar+bur}"
"kare","【動詞】(不慮の事故，過失などで意図せず)死なす，死なせる，死に至らしめる，殺す
【類義語】kuree","【語法】kureeとの違いは動作主が意図したか否かにある．事件ではなく事故で殺した場合はkare，事件レベルであっても殺意が無ければkareである．災害などの無生物が主語になる場合も，災害そのものに殺意はないのでkareを使う．
{a>i.s}"
"karvom","【名詞】死人","{kar+fom}"
"kaunan","【名詞】(軍)砲","【語法】専門的には口径20mm以上のものを指すが，一般人はなんとなくでかい火砲をこう呼ぶ．
{a>i.k}"
"keda","【名詞】(凹の)角，隅，すみっこ
【対義語】kune","【語法】谷折りの角を指す．記述詞が無ければ鋭角であることを想像するが，丸い角という言い方は可．
{r}"
"kede","【名詞】軍，軍隊","【語法】基本的に正規軍を指す．国軍はsonegede，それ以外の私兵やゲリラをamzonegedeと区別する"
"keh","【名詞】(言)格","{r}"
"keinu","【名詞】頭，あたま","【語法】比喩的な意味での「お頭」の意味はない．
{a|腕>}"
"keinumee","【名詞】おでこ","【語法】目のラインから髪の生え際まで．横方向には耳の間全てなので，日本語の「おでこ」より範囲が広い．
{keinu+mee}"
"kere","【動詞】運転する，操縦する","{r|速く走らせる>i.s}"
"kerin","【法記述詞】(依頼)(iuに)～して欲しい",""
"kie","【名詞】毛，体毛","【語法】動物の毛も人間の毛もいっしょくたにkieである．
{a}"
"kimun","【名詞】謎，なぞ，疑問，不明なこと","【語法】わからないこと．わからない物自身はkimunではなく，わからないという事態を指す．
{r}"
